ID_PAID;DATA;COOKIEID;ID_SEX;ID_ETA;ID_INTERESSE_1;ID_INTERESSE2;ID_INTERESSE3;ID_DEVICE;ID_TYPE;PAGEVIEW_INDEX;NUM;ID_CAMPAIGN;ID_SOTTO1;ID_SOTTO2;ID_SOTTO3;ID_COUNTRY;ID_PROVINCIA;ID_CITY
1709004;03/11/2019;0000000000000000002d86ea32e2a05d4;1;5;33;23;35;2;1;5;1;12;32;49;43;1;4;4
1709005;03/11/2019;0000000000000000002d8701250b6058d;1;6;31;13;35;2;1;1;1;16;2;2;2;1;13;15
1709006;03/11/2019;0000000000000000002d8706135c605c6;3;1;25;25;25;2;1;0;3;20;2;2;2;1;25;75
1709007;03/11/2019;0000000000000000002d8706d52d205af;1;5;19;32;25;2;1;1;1;20;27;2;2;5;16;21
1709008;03/11/2019;0000000000000000002d8706d52d205af;1;5;19;32;25;2;2;1;1;20;27;2;2;5;16;21
1709009;03/11/2019;0000000000000000002d87071f9e4058c;1;2;31;6;25;2;1;1;1;27;2;2;2;1;4;4
1709010;03/11/2019;0000000000000000002d870c6d22a0592;1;3;11;16;29;2;1;5;1;25;14;43;26;1;13;15
1709011;03/11/2019;0000000000000000002d870c6d22a0592;1;3;11;16;29;2;1;5;1;24;14;43;26;1;13;15
1709012;03/11/2019;0000000000000000002d8713ba33605aa;1;1;8;22;29;3;1;1;1;17;2;2;2;1;1;28
1709013;03/11/2019;0000000000000000002d87146aca805e1;2;5;25;13;16;1;1;1;2;27;2;2;2;1;32;73
1709014;03/11/2019;0000000000000000002d87146aca805e1;2;5;25;13;16;1;1;1;1;26;2;2;2;1;32;73
1709015;03/11/2019;0000000000000000002d871fb96d40598;1;1;21;33;3;2;1;5;1;27;17;198;45;1;2;2
1709016;03/11/2019;0000000000000000002d871febba405de;3;1;25;25;25;2;1;5;1;12;2;2;2;1;3;3
1709017;03/11/2019;0000000000000000002d872a60be00249;3;1;25;25;25;2;1;1;1;27;2;2;2;1;12;55
1709018;03/11/2019;0000000000000000002d872d89c4405b2;2;1;22;23;35;2;1;1;1;27;51;2;2;1;12;14
1709019;03/11/2019;0000000000000000002d872d89c4405b2;2;1;22;23;35;2;1;1;1;26;51;2;2;1;12;14
1709020;03/11/2019;0000000000000000002d87412180a0585;2;1;29;25;25;2;1;2;1;27;2;2;2;1;4;4
1709021;03/11/2019;0000000000000000002d87412180a0585;2;1;29;25;25;2;1;2;1;26;2;2;2;1;4;4
1709022;03/11/2019;0000000000000000002d8746f18bc05c1;3;1;25;25;25;2;1;3;1;12;2;2;2;1;11;51
1709023;03/11/2019;0000000000000000002d874a8863c05aa;3;1;25;25;25;2;1;2;1;25;2;2;2;1;4;4
1709024;03/11/2019;0000000000000000002d875c5d9c205c5;2;1;6;16;25;1;1;1;2;10;2;2;2;1;25;98
1709025;03/11/2019;0000000000000000002d877fcea8405c8;2;3;26;23;33;2;1;2;1;26;26;118;43;1;3;3
1709026;03/11/2019;0000000000000000002d87804fc1405af;3;1;25;25;25;3;1;5;1;12;2;2;2;1;3;3
1709027;03/11/2019;0000000000000000002d8783009420243;3;1;25;25;25;2;1;3;1;11;2;2;2;1;4;4
1709028;03/11/2019;0000000000000000002d8783009420243;3;1;25;25;25;2;1;3;1;10;2;2;2;1;4;4
1709029;03/11/2019;0000000000000000002d87870fe460589;1;2;26;17;33;2;1;4;1;27;2;2;2;1;4;4
1709030;03/11/2019;0000000000000000002d879738e480157;2;5;23;33;18;2;1;1;1;14;112;15;2;34;54;139
1709031;03/11/2019;0000000000000000002d879a07cba05e2;2;1;29;25;25;2;1;1;1;17;49;69;2;1;4;4
1709032;03/11/2019;0000000000000000002d879e4970405a5;2;1;29;13;16;2;1;1;1;24;35;2;2;1;2;2
1709033;03/11/2019;0000000000000000002d87a7ed8c005c5;3;1;25;25;25;2;1;1;1;10;2;2;2;1;4;4
1709034;03/11/2019;0000000000000000002d87b73fe6605d3;3;1;25;25;25;1;1;0;2;26;2;2;2;1;2;78
1709035;03/11/2019;0000000000000000002d87b73fe6605d3;3;1;25;25;25;1;1;0;1;27;2;2;2;1;2;78
1709036;03/11/2019;0000000000000000002d87b73fe6605d3;3;1;25;25;25;1;2;0;1;26;2;2;2;1;2;78
1709037;03/11/2019;0000000000000000002d87bef727605c6;1;4;23;22;19;2;1;1;1;28;11;27;2;1;2;2
